date,n_valid_pixels,n_fire_pixels_label,conf_max,conf_mean,conf_p90,t21_max,t21_mean,t21_p90,n_conf_ge_30,n_conf_ge_50,n_conf_ge_60,n_conf_ge_70,n_conf_ge_80,n_t21_ge_325,n_t21_ge_350,n_t21_ge_375,n_both_conf60_t21325,n_both_conf70_t21350
2020-11-09,1217568,166,77.0,48.638553619384766,67.0,328.29998779296875,305.5391540527344,308.5,145,86,46,6,0,10,0,0,0,0
2020-11-10,1217568,463,100.0,61.17494583129883,82.0,365.0,310.58795166015625,323.3999938964844,454,361,285,118,58,31,11,0,31,11
2020-11-11,1217568,73,77.0,71.6986312866211,77.0,317.1000061035156,314.0191955566406,317.1000061035156,73,73,73,43,0,0,0,0,0,0
2020-11-12,1217568,283,89.0,66.31449127197266,85.0,334.20001220703125,314.47845458984375,333.3999938964844,278,235,182,127,70,61,0,0,61,0
2020-11-13,1217568,21,79.0,79.0,79.0,325.6000061035156,318.69525146484375,325.6000061035156,11,11,11,11,0,11,0,0,11,0
2020-11-14,1217568,46,80.0,65.43478393554688,80.0,321.79998779296875,312.1717834472656,321.79998779296875,46,38,38,17,7,0,0,0,0,0
2020-11-15,1217568,135,92.0,64.42962646484375,85.59998321533203,340.70001220703125,311.54815673828125,329.0799560546875,127,114,104,33,14,14,0,0,14,0
2020-11-16,1217568,148,77.0,56.7905387878418,77.0,316.6000061035156,307.0932312011719,316.6000061035156,148,110,52,22,0,0,0,0,0,0
2020-11-17,1217568,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2020-11-18,1217568,167,100.0,87.98802185058594,100.0,437.1000061035156,358.2910461425781,425.70001220703125,167,152,150,122,122,117,92,65,117,92
2020-11-19,1217568,593,94.0,60.48006820678711,84.0,344.1000061035156,310.12310791015625,326.5,558,449,275,158,65,71,0,0,71,0
2020-11-20,1217568,317,100.0,69.82965087890625,94.0,345.70001220703125,315.30914306640625,342.3999938964844,317,293,203,151,110,71,0,0,71,0
2020-11-21,1217568,199,86.0,58.477386474609375,79.0,329.5,308.0201110839844,319.20001220703125,181,146,103,73,7,7,0,0,7,0
2020-11-22,1217568,56,81.0,62.78571319580078,81.0,321.8999938964844,308.0124816894531,321.8999938964844,56,56,36,11,11,0,0,0,0,0
2020-11-23,1217568,174,100.0,69.00574493408203,92.0,390.70001220703125,321.3385009765625,340.70001220703125,171,165,112,71,64,52,14,14,52,14
2020-11-24,1217568,412,100.0,70.16747283935547,99.0,423.79998779296875,322.3507385253906,357.29998779296875,402,326,278,236,168,137,45,23,137,45
2020-11-25,1217568,292,96.0,67.83904266357422,89.0,389.6000061035156,318.88458251953125,349.1000061035156,292,228,186,159,104,78,10,10,75,10
2020-11-26,1217568,70,97.0,67.67142486572266,91.59999084472656,352.0,319.202880859375,339.7599792480469,55,54,47,45,25,25,7,0,25,7
2020-11-27,1217568,179,91.0,68.82681274414062,90.0,338.8999938964844,312.89886474609375,335.5,179,168,149,80,21,21,0,0,21,0
2020-11-28,1217568,138,81.0,62.49275207519531,79.0,321.29998779296875,308.67828369140625,319.0,136,128,86,34,10,0,0,0,0,0
2020-11-29,1217568,38,79.0,65.07894897460938,79.0,318.6000061035156,309.2315979003906,318.6000061035156,38,38,27,8,0,0,0,0,0,0
2020-11-30,1217568,107,89.0,62.8317756652832,76.0,334.6000061035156,309.5420837402344,320.29998779296875,107,92,56,20,7,7,0,0,7,0
2020-12-01,1217568,159,89.0,59.289306640625,78.0,335.0,309.65289306640625,318.70001220703125,159,110,87,35,14,7,0,0,7,0
2020-12-02,1217568,393,90.0,60.19593048095703,81.0,336.29998779296875,309.3162841796875,321.0,366,349,195,82,48,35,0,0,35,0
2020-12-03,1217568,13,100.0,96.76923370361328,100.0,324.8999938964844,322.1307373046875,324.8999938964844,13,13,13,13,13,0,0,0,0,0
2020-12-04,1217568,214,97.0,68.14485931396484,86.0,351.8999938964844,315.42938232421875,328.5,214,175,130,101,91,55,14,0,55,14
2020-12-05,1217568,54,92.0,70.53704071044922,92.0,342.0,316.540771484375,342.0,54,54,50,22,9,9,0,0,9,0
2020-12-06,1217568,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2020-12-07,1217568,35,70.0,63.79999923706055,70.0,310.29998779296875,307.0400390625,310.29998779296875,35,35,18,15,0,0,0,0,0,0
2020-12-08,1217568,208,100.0,68.70673370361328,90.5999755859375,437.3999938964844,317.99468994140625,337.9899597167969,208,189,154,96,46,46,13,6,46,13
2020-12-09,1217568,61,77.0,63.344261169433594,77.0,316.6000061035156,311.5147399902344,316.6000061035156,51,43,43,34,0,0,0,0,0,0
2020-12-10,1217568,334,100.0,76.4820327758789,97.0,374.20001220703125,323.61676025390625,352.20001220703125,334,315,286,242,133,113,54,0,113,54
2020-12-11,1217568,13,62.0,60.61538314819336,62.0,311.5,309.00775146484375,311.5,13,13,7,0,0,0,0,0,0,0
2020-12-12,1217568,62,91.0,75.0,91.0,337.79998779296875,321.6871337890625,337.79998779296875,50,42,39,32,30,26,0,0,26,0
2020-12-13,1217568,36,48.0,46.46154022216797,48.0,321.8999938964844,308.933349609375,321.8999938964844,26,0,0,0,0,0,0,0,0,0
