rule_type,feature_1,threshold_1,feature_2,threshold_2,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
and,n_conf_ge_60,5,n_t21_ge_325,15.0,0.6541129831516352,0.7701283547257877,0.707395498392283,0.7040475798525203,1230,698,394,1320
and,n_conf_ge_60,6,n_t21_ge_325,15.0,0.6541129831516352,0.7701283547257877,0.707395498392283,0.7040475798525203,1230,698,394,1320
and,n_conf_ge_60,1,n_t21_ge_325,16.0,0.6599292572006064,0.7619603267211202,0.7072840509071215,0.7064469683398132,1255,673,408,1306
and,n_conf_ge_60,2,n_t21_ge_325,16.0,0.6599292572006064,0.7619603267211202,0.7072840509071215,0.7064469683398132,1255,673,408,1306
and,n_conf_ge_60,3,n_t21_ge_325,16.0,0.6599292572006064,0.7619603267211202,0.7072840509071215,0.7064469683398132,1255,673,408,1306
and,n_conf_ge_60,4,n_t21_ge_325,16.0,0.6599292572006064,0.7619603267211202,0.7072840509071215,0.7064469683398132,1255,673,408,1306
and,n_conf_ge_60,5,n_t21_ge_325,16.0,0.6599292572006064,0.7619603267211202,0.7072840509071215,0.7064469683398132,1255,673,408,1306
and,n_conf_ge_60,6,n_t21_ge_325,16.0,0.6599292572006064,0.7619603267211202,0.7072840509071215,0.7064469683398132,1255,673,408,1306
and,n_conf_ge_60,1,n_t21_ge_325,8.0,0.6152849740932642,0.8313885647607935,0.707196029776675,0.6846258176501063,1037,891,289,1425
and,n_conf_ge_60,2,n_t21_ge_325,8.0,0.6152849740932642,0.8313885647607935,0.707196029776675,0.6846258176501063,1037,891,289,1425
and,n_conf_ge_60,8,n_t21_ge_325,11.0,0.6300182481751825,0.8057176196032673,0.7071172555043522,0.6925372330381482,1117,811,333,1381
and,n_conf_ge_60,7,n_t21_ge_325,9.0,0.618173875054609,0.8255542590431738,0.7069697726704971,0.6861173784842425,1054,874,299,1415
and,n_conf_ge_60,4,n_t21_ge_325,9.0,0.6178010471204188,0.8261376896149358,0.7069395906140788,0.6858904215709534,1052,876,298,1416
single,n_t21_ge_325,17,,,0.6624171341152473,0.7578763127187864,0.7069387755102041,0.707257658434082,1266,662,415,1299
and,n_conf_ge_60,3,n_t21_ge_325,8.0,0.6151187904967602,0.8308051341890315,0.7068751551253413,0.6843341023642253,1037,891,290,1424
and,n_conf_ge_60,7,n_t21_ge_325,10.0,0.6206440229378033,0.8208868144690782,0.7068575734740015,0.6874143615913856,1068,860,307,1407
and,n_conf_ge_60,4,n_t21_ge_325,10.0,0.6202643171806167,0.8214702450408401,0.7068273092369478,0.6871874046780964,1066,862,306,1408
and,n_conf_ge_60,1,n_t21_ge_325,6.0,0.6051537822111388,0.8494749124854143,0.7067961165048544,0.678368161636898,978,950,258,1456
and,n_conf_ge_60,2,n_t21_ge_325,6.0,0.6051537822111388,0.8494749124854143,0.7067961165048544,0.678368161636898,978,950,258,1456
and,n_conf_ge_60,9,n_t21_ge_325,11.0,0.629849383842994,0.8051341890315052,0.706786171574904,0.6922455177522672,1117,811,334,1380
and,n_conf_ge_60,10,n_t21_ge_325,12.0,0.6392823418319169,0.7899649941656943,0.7066805845511482,0.6968497169998595,1164,764,360,1354
and,n_conf_ge_60,1,n_t21_ge_325,5.0,0.6034696406443618,0.8523920653442241,0.7066505441354293,0.6772333770704523,968,960,253,1461
and,n_conf_ge_60,2,n_t21_ge_325,5.0,0.6034696406443618,0.8523920653442241,0.7066505441354293,0.6772333770704523,968,960,253,1461
and,n_conf_ge_60,1,n_t21_ge_325,3.0,0.6017227235438884,0.8558926487747958,0.7066473988439307,0.6761309716903025,957,971,247,1467
and,n_conf_ge_60,2,n_t21_ge_325,3.0,0.6017227235438884,0.8558926487747958,0.7066473988439307,0.6761309716903025,957,971,247,1467
and,n_conf_ge_60,5,n_t21_ge_325,9.0,0.6176342208642515,0.8255542590431738,0.7066167290886392,0.6855987062850724,1052,876,299,1415
and,n_conf_ge_60,6,n_t21_ge_325,9.0,0.6176342208642515,0.8255542590431738,0.7066167290886392,0.6855987062850724,1052,876,299,1415
and,n_conf_ge_60,10,n_t21_ge_325,15.0,0.6544007956240676,0.7677946324387398,0.7065771812080537,0.7036587270077517,1233,695,398,1316
and,n_conf_ge_60,11,n_t21_ge_325,14.0,0.646944713870029,0.7782963827304551,0.7065677966101694,0.7003515108673022,1200,728,380,1334
and,n_conf_ge_60,8,n_t21_ge_325,9.0,0.6184844502847131,0.823803967327888,0.7065298974230673,0.6860202409253549,1057,871,302,1412
and,n_conf_ge_60,1,n_t21_ge_325,4.0,0.6018062397372742,0.8553092182030338,0.7065060240963855,0.6760985925040066,958,970,248,1466
and,n_conf_ge_60,2,n_t21_ge_325,4.0,0.6018062397372742,0.8553092182030338,0.7065060240963855,0.6760985925040066,958,970,248,1466
and,n_conf_ge_60,5,n_t21_ge_325,10.0,0.620096959012781,0.8208868144690782,0.7065026362038664,0.6868956893922155,1066,862,307,1407
and,n_conf_ge_60,6,n_t21_ge_325,10.0,0.620096959012781,0.8208868144690782,0.7065026362038664,0.6868956893922155,1066,862,307,1407
and,n_conf_ge_60,3,n_t21_ge_325,6.0,0.604989604989605,0.8488914819136523,0.7064821558630736,0.6780764463510169,978,950,259,1455
and,n_conf_ge_60,10,n_t21_ge_325,16.0,0.6602434077079108,0.7596266044340724,0.7064568638090071,0.7060581154950445,1258,670,412,1302
and,n_conf_ge_60,11,n_t21_ge_325,13.0,0.642754662840746,0.7841306884480747,0.7064388961892247,0.6983412778339959,1181,747,370,1344
and,n_conf_ge_60,8,n_t21_ge_325,10.0,0.6209641751437417,0.8191365227537923,0.7064150943396227,0.6873172240324978,1071,857,310,1404
and,n_conf_ge_60,12,n_t21_ge_325,14.0,0.6470873786407767,0.7777129521586931,0.7064122946475888,0.7003191316810062,1201,727,381,1333
and,n_conf_ge_60,3,n_t21_ge_325,5.0,0.6033057851239669,0.851808634772462,0.7063376874697629,0.6769416617845713,968,960,254,1460
and,n_conf_ge_60,3,n_t21_ge_325,3.0,0.6015592942141977,0.8553092182030338,0.706335822693327,0.6758392564044216,957,971,248,1466
and,n_conf_ge_60,12,n_t21_ge_325,13.0,0.6428913355672571,0.7835472578763127,0.706284512227189,0.6983088986477,1182,746,371,1343
and,n_conf_ge_60,7,n_t21_ge_325,8.0,0.6151515151515151,0.8290548424737456,0.7062624254473161,0.6839776287057524,1039,889,293,1421
and,n_conf_ge_60,4,n_t21_ge_325,8.0,0.6147859922178989,0.8296382730455076,0.70623292773777,0.6837506717924633,1037,891,292,1422
and,n_conf_ge_60,9,n_t21_ge_325,9.0,0.6183172655565293,0.823220536756126,0.7062062062062062,0.6857285256394738,1057,871,303,1411
and,n_conf_ge_60,3,n_t21_ge_325,4.0,0.6016427104722792,0.8547257876312718,0.7061942636779946,0.6758068772181256,958,970,249,1465
and,n_conf_ge_60,1,n_t21_ge_325,1.0,0.6006546644844517,0.8564760793465578,0.7061087061087061,0.6751260064782582,952,976,246,1468
and,n_conf_ge_60,9,n_t21_ge_325,10.0,0.6207964601769912,0.8185530921820303,0.7060895822848515,0.6870255087466168,1071,857,311,1403
and,n_conf_ge_60,1,n_t21_ge_325,2.0,0.6007371007371007,0.8558926487747958,0.7059672762271415,0.6750936272919622,953,975,247,1467
and,n_conf_ge_60,2,n_t21_ge_325,2.0,0.6007371007371007,0.8558926487747958,0.7059672762271415,0.6750936272919622,953,975,247,1467
and,n_conf_ge_60,5,n_t21_ge_325,8.0,0.6146193771626297,0.8290548424737456,0.7059115747640338,0.6834589565065823,1037,891,293,1421
and,n_conf_ge_60,6,n_t21_ge_325,8.0,0.6146193771626297,0.8290548424737456,0.7059115747640338,0.6834589565065823,1037,891,293,1421
and,n_conf_ge_60,4,n_t21_ge_325,6.0,0.6046608406158968,0.8477246207701283,0.7058537770221035,0.677493015779255,978,950,261,1453
and,n_conf_ge_60,3,n_t21_ge_325,2.0,0.6008196721311475,0.8553092182030338,0.705825710158883,0.6750612481056664,954,974,248,1466
and,n_conf_ge_60,8,n_t21_ge_325,8.0,0.6154513888888888,0.8273045507584598,0.7058237929318069,0.6838804911468648,1042,886,296,1418
and,n_conf_ge_60,2,n_t21_ge_325,1.0,0.6004911993450676,0.8558926487747958,0.7057974500841954,0.6748342911923771,952,976,247,1467
and,n_conf_ge_60,10,n_t21_ge_325,11.0,0.6293418647166362,0.8033838973162194,0.7057919015889288,0.6913703718946242,1117,811,337,1377
and,n_conf_ge_60,8,n_t21_ge_325,17.0,0.6625704045058883,0.7549591598599766,0.7057540223616035,0.7065770903034323,1269,659,420,1294
and,n_conf_ge_60,9,n_t21_ge_325,17.0,0.6625704045058883,0.7549591598599766,0.7057540223616035,0.7065770903034323,1269,659,420,1294
and,n_conf_ge_60,13,n_t21_ge_325,14.0,0.6467444120505345,0.7765460910151692,0.7057264050901378,0.6997357011092444,1201,727,383,1331
and,n_conf_ge_60,14,n_t21_ge_325,14.0,0.6467444120505345,0.7765460910151692,0.7057264050901378,0.6997357011092444,1201,727,383,1331
and,n_conf_ge_60,7,n_t21_ge_325,17.0,0.6620654396728016,0.7555425904317387,0.7057220708446866,0.7063501333901432,1267,661,419,1295
and,n_conf_ge_60,4,n_t21_ge_325,5.0,0.6029776674937966,0.8506417736289381,0.7057115198451114,0.6763582312128094,968,960,256,1458
and,n_conf_ge_60,3,n_t21_ge_325,1.0,0.6005735354362965,0.8553092182030338,0.7056558363417569,0.6748019120060813,953,975,248,1466
and,n_conf_ge_60,13,n_t21_ge_325,13.0,0.6425491135601341,0.7823803967327888,0.7056037884767167,0.6977254680759379,1182,746,373,1341
and,n_conf_ge_60,14,n_t21_ge_325,13.0,0.6425491135601341,0.7823803967327888,0.7056037884767167,0.6977254680759379,1182,746,373,1341
or,n_conf_ge_60,50,n_t21_ge_325,8.0,0.6016460905349794,0.852975495915986,0.7055984555984556,0.6754504035596527,960,968,252,1462
or,n_conf_ge_60,50,n_t21_ge_325,9.0,0.6033982594280978,0.8494749124854143,0.705597286164284,0.6765528089398025,971,957,258,1456
and,n_conf_ge_60,4,n_t21_ge_325,4.0,0.6013152486642006,0.853558926487748,0.7055702917771883,0.6752234466463636,958,970,251,1463
or,n_conf_ge_60,50,n_t21_ge_325,3.0,0.5926219754065847,0.8716452742123687,0.7055489964580873,0.6694844628323254,901,1027,220,1494
or,n_conf_ge_60,49,n_t21_ge_325,8.0,0.6009852216748769,0.8541423570595099,0.7055421686746988,0.6749964897330745,956,972,250,1464
or,n_conf_ge_60,49,n_t21_ge_325,9.0,0.6027284001653576,0.8506417736289381,0.7055407694168885,0.6760988951132243,967,961,256,1458
and,n_conf_ge_60,5,n_t21_ge_325,6.0,0.604496253122398,0.8471411901983664,0.7055393586005831,0.6772013004933741,978,950,262,1452
and,n_conf_ge_60,6,n_t21_ge_325,6.0,0.604496253122398,0.8471411901983664,0.7055393586005831,0.6772013004933741,978,950,262,1452
and,n_conf_ge_60,1,n_t21_ge_325,7.0,0.6062893081761006,0.8436406067677946,0.7055379360819712,0.6783037058735238,989,939,268,1446
and,n_conf_ge_60,2,n_t21_ge_325,7.0,0.6062893081761006,0.8436406067677946,0.7055379360819712,0.6783037058735238,989,939,268,1446
and,n_conf_ge_60,9,n_t21_ge_325,8.0,0.6156521739130435,0.8261376896149358,0.7055306427503737,0.6838157327742729,1044,884,298,1416
and,n_conf_ge_60,1,n_t21_ge_325,17.0,0.6617271333673991,0.7555425904317387,0.7055298283846363,0.7060907972905581,1266,662,419,1295
and,n_conf_ge_60,2,n_t21_ge_325,17.0,0.6617271333673991,0.7555425904317387,0.7055298283846363,0.7060907972905581,1266,662,419,1295
and,n_conf_ge_60,3,n_t21_ge_325,17.0,0.6617271333673991,0.7555425904317387,0.7055298283846363,0.7060907972905581,1266,662,419,1295
and,n_conf_ge_60,4,n_t21_ge_325,17.0,0.6617271333673991,0.7555425904317387,0.7055298283846363,0.7060907972905581,1266,662,419,1295
and,n_conf_ge_60,5,n_t21_ge_325,17.0,0.6617271333673991,0.7555425904317387,0.7055298283846363,0.7060907972905581,1266,662,419,1295
and,n_conf_ge_60,6,n_t21_ge_325,17.0,0.6617271333673991,0.7555425904317387,0.7055298283846363,0.7060907972905581,1266,662,419,1295
or,n_conf_ge_60,49,n_t21_ge_325,3.0,0.59200633161852,0.8728121353558926,0.705493987267154,0.6690305490057471,897,1031,218,1496
and,n_conf_ge_60,5,n_t21_ge_325,4.0,0.6013986013986014,0.852975495915986,0.7054282267792521,0.6751910674600676,959,969,252,1462
or,n_conf_ge_60,50,n_t21_ge_325,4.0,0.592695514092894,0.8710618436406068,0.7054098747932908,0.6694520836460296,902,1026,221,1493
and,n_conf_ge_60,4,n_t21_ge_325,3.0,0.6010682004930156,0.853558926487748,0.7054001928640309,0.6749641105467785,957,971,251,1463
and,n_conf_ge_60,5,n_t21_ge_325,5.0,0.6028134050475796,0.8500583430571762,0.7053982086661825,0.6760665159269283,968,960,257,1457
single,n_both_conf60_t21325,3,,,0.6024793388429752,0.8506417736289381,0.7053701015965167,0.6758395590136392,966,962,256,1458
and,n_both_conf60_t21325,3,n_fire_pixels_label,1.0,0.6024793388429752,0.8506417736289381,0.7053701015965167,0.6758395590136392,966,962,256,1458
and,n_both_conf60_t21325,3,n_fire_pixels_label,2.0,0.6024793388429752,0.8506417736289381,0.7053701015965167,0.6758395590136392,966,962,256,1458
and,n_both_conf60_t21325,3,n_fire_pixels_label,3.0,0.6024793388429752,0.8506417736289381,0.7053701015965167,0.6758395590136392,966,962,256,1458
or,n_conf_ge_60,49,n_t21_ge_325,4.0,0.592079207920792,0.8722287047841307,0.7053550365652277,0.6689981698194513,898,1030,219,1495
or,n_conf_ge_60,50,n_t21_ge_325,6.0,0.595028067361668,0.8658109684947491,0.7053231939163498,0.6709760236664617,918,1010,230,1484
single,n_both_conf60_t21325,1,,,0.6018136850783182,0.851808634772462,0.7053140096618358,0.6753856451870609,962,966,254,1460
and,n_both_conf60_t21325,1,n_fire_pixels_label,1.0,0.6018136850783182,0.851808634772462,0.7053140096618358,0.6753856451870609,962,966,254,1460
and,n_both_conf60_t21325,1,n_fire_pixels_label,2.0,0.6018136850783182,0.851808634772462,0.7053140096618358,0.6753856451870609,962,966,254,1460
and,n_both_conf60_t21325,1,n_fire_pixels_label,3.0,0.6018136850783182,0.851808634772462,0.7053140096618358,0.6753856451870609,962,966,254,1460
and,n_conf_ge_60,6,n_t21_ge_325,4.0,0.601482091395636,0.8523920653442241,0.7052860246198407,0.6751586882737718,960,968,253,1461
or,n_conf_ge_60,49,n_t21_ge_325,6.0,0.5944,0.8669778296382731,0.7052681537731371,0.6705221098398835,914,1014,228,1486
and,n_conf_ge_60,5,n_t21_ge_325,3.0,0.6011513157894737,0.852975495915986,0.7052580800771828,0.6749317313604826,958,970,252,1462
and,n_conf_ge_60,6,n_t21_ge_325,5.0,0.6028985507246377,0.8494749124854143,0.7052555098086704,0.6760341367406324,969,959,258,1456
single,n_t21_ge_325,18,,,0.6680584551148225,0.7467911318553092,0.7052341597796143,0.708457806591555,1292,636,434,1280
and,n_both_conf60_t21325,3,n_fire_pixels_label,5.0,0.6025641025641025,0.8500583430571762,0.7052274927395934,0.6758071798273433,967,961,257,1457
and,n_both_conf60_t21325,3,n_fire_pixels_label,6.0,0.6025641025641025,0.8500583430571762,0.7052274927395934,0.6758071798273433,967,961,257,1457
and,n_conf_ge_60,3,n_t21_ge_325,7.0,0.6061241610738255,0.8430571761960327,0.7052220595412396,0.6780119905876429,989,939,269,1445
and,n_conf_ge_60,11,n_t21_ge_325,12.0,0.6387310606060606,0.7870478413068844,0.7051751176163095,0.6956504766700398,1165,763,365,1349
single,n_both_conf60_t21325,2,,,0.601897689768977,0.8512252042007001,0.7051715804736588,0.6753532660007651,963,965,255,1459
and,n_both_conf60_t21325,1,n_fire_pixels_label,5.0,0.601897689768977,0.8512252042007001,0.7051715804736588,0.6753532660007651,963,965,255,1459
and,n_both_conf60_t21325,1,n_fire_pixels_label,6.0,0.601897689768977,0.8512252042007001,0.7051715804736588,0.6753532660007651,963,965,255,1459
and,n_both_conf60_t21325,2,n_fire_pixels_label,1.0,0.601897689768977,0.8512252042007001,0.7051715804736588,0.6753532660007651,963,965,255,1459
and,n_both_conf60_t21325,2,n_fire_pixels_label,2.0,0.601897689768977,0.8512252042007001,0.7051715804736588,0.6753532660007651,963,965,255,1459
and,n_both_conf60_t21325,2,n_fire_pixels_label,3.0,0.601897689768977,0.8512252042007001,0.7051715804736588,0.6753532660007651,963,965,255,1459
and,n_conf_ge_60,6,n_t21_ge_325,3.0,0.6012345679012345,0.8523920653442241,0.7051158301158301,0.6748993521741867,959,969,253,1461
and,n_conf_ge_60,10,n_t21_ge_325,10.0,0.6202924235711121,0.8168028004667445,0.7051120624527827,0.6861503628889739,1071,857,314,1400
and,n_both_conf60_t21325,3,n_fire_pixels_label,4.0,0.6023150062009095,0.8500583430571762,0.7050568594241471,0.6755478437277582,966,962,257,1457
or,n_conf_ge_60,50,n_t21_ge_325,5.0,0.5935380933386518,0.868144690781797,0.7050461975835111,0.6698088599137201,909,1019,226,1488
and,n_both_conf60_t21325,2,n_fire_pixels_label,5.0,0.601981833195706,0.8506417736289381,0.7050290135396519,0.6753208868144691,964,964,256,1458
and,n_both_conf60_t21325,2,n_fire_pixels_label,6.0,0.601981833195706,0.8506417736289381,0.7050290135396519,0.6753208868144691,964,964,256,1458
and,n_conf_ge_60,11,n_t21_ge_325,15.0,0.6538653366583541,0.76487747957993,0.7050282333960742,0.7024594866779318,1234,694,403,1311
or,n_conf_ge_60,50,n_t21_ge_325,1.0,0.591610605461021,0.8722287047841307,0.7050224003772695,0.6684794976202811,896,1032,219,1495
and,n_conf_ge_60,12,n_t21_ge_325,12.0,0.6388625592417062,0.7864644107351225,0.7050209205020921,0.6956180974837438,1166,762,366,1348
